disease	sampletype	gene_a	refseq_a	chr_a	position_a	gene_b	refseq_b	chr_b	position_b	Discordant_readcount	TARGET_CASE_ID	strand_a	strand_b
ALL	diagnosis	ARL8B	NM_018184	chr3	5219872	EDEM1	NM_014674	chr3	5229871	76	10-PAKKXB	+	+
ALL	diagnosis			chr5	153365792	FAM114A2	NM_018691	chr5	153417674	39	10-PAKKXB	+	+
ALL	diagnosis	FARS2	NM_006567	chr6	5665557			chr6	5792475	46	10-PAKKXB	+	+
ALL	diagnosis			chr6	37787080	ZFAND3	NM_021943	chr6	37827471	35	10-PAKKXB	+	+
ALL	diagnosis	ZFAND3	NM_021943	chr6	37827474			chr14	107034732	39	10-PAKKXB	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412893	IKZF1	NM_006060	chr7	50463630	40	10-PAKKXB	+	+
ALL	diagnosis	RAD21	NM_006265	chr8	117876815	RAD21	NM_006265	chr8	117881267	28	10-PAKKXB	+	+
ALL	diagnosis			chr9	21902178	CDKN2B	NM_004936	chr9	22008300	104	10-PAKKXB	+	+
ALL	diagnosis			chr9	21953477	CDKN2A	NM_058195	chr9	21992828	43	10-PAKKXB	+	+
ALL	diagnosis	ZNF367	NM_153695	chr9	99160506	AGBL1	NM_152336	chr15	87236257	3	10-PAKKXB	+	-
ALL	diagnosis	ADD3	NM_001121	chr10	111768609	ADD3	NM_001121	chr10	111868814	44	10-PAKKXB	+	+
ALL	diagnosis			chr12	92156554	BTG1	NM_001731	chr12	92538070	85	10-PAKKXB	+	+
ALL	diagnosis	ZNF566	NM_001145343	chr19	36979989			chr19	37019969	113	10-PAKKXB	+	+
ALL	diagnosis			chr20	10415598	SLX4IP	NM_001009608	chr20	10456219	49	10-PAKKXB	+	+
ALL	diagnosis	LINC00114	NR_027065	chr21	40117437	ETS2	NM_005239	chr21	40178762	46	10-PAKKXB	+	+
ALL	diagnosis	XBP1	NM_001079539	chr22	29195131			chr22	29207960	61	10-PAKKXB	+	+
ALL	diagnosis	ELN	NM_000501	chr7	73453896	PAX5	NM_016734	chr9	37000629	119	10-PAKMVD	-	+
ALL	diagnosis	MTAP	NM_002451	chr9	21803012	CDKN2A	NM_058195	chr9	21978438	45	10-PAKMVD	+	+
ALL	diagnosis	RYR2	NM_001035	chr1	237566103	RYR2	NM_001035	chr1	237566207	12	10-PAKMZM	-	+
ALL	diagnosis			chr2	203050100	NOP58	NM_015934	chr2	203130640	94	10-PAKMZM	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412860			chr7	50484459	56	10-PAKMZM	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21811594	CDKN2B	NM_004936	chr9	22008303	178	10-PAKMZM	+	+
ALL	diagnosis	CDKN2A	NM_058195	chr9	21975799	CDKN2B	NM_004936	chr9	22008309	45	10-PAKMZM	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36929051	PAX5	NM_016734	chr9	37030695	34	10-PAKMZM	+	+
ALL	diagnosis			chr13	44811957	TSC22D1	NM_006022	chr13	45010457	108	10-PAKMZM	+	+
ALL	diagnosis	SLC25A19	NM_001126121	chr17	73284989	GRB2	NM_002086	chr17	73400934	41	10-PAKMZM	+	+
ALL	diagnosis	XBP1	NM_001079539	chr22	29195151			chr22	29225452	59	10-PAKMZM	+	+
ALL	diagnosis			chrX	40899962	USP9X	NM_001039590	chrX	40946142	27	10-PAKMZM	+	+
ALL	diagnosis	CDYL	NM_004824	chr6	4777598	CDYL	NM_001143970	chr6	4934279	42	10-PAKRSL	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412892	IKZF1	NM_006060	chr7	50463630	27	10-PAKRSL	+	+
ALL	diagnosis			chr7	106505788	PRKAR2B	NM_002736	chr7	106686023	63	10-PAKRSL	+	+
ALL	diagnosis			chr8	11626527	FDFT1	NM_004462	chr8	11660777	83	10-PAKRSL	+	+
ALL	diagnosis			chr9	21883309	CDKN2B-AS1	NR_003529	chr9	22051307	72	10-PAKRSL	+	+
ALL	diagnosis	CDKN2A	NM_058195	chr9	21975801	CDKN2B-AS1	NR_003529	chr9	22009641	102	10-PAKRSL	+	+
ALL	diagnosis	ABI1	NM_001012750	chr10	27089687	ABI1	NM_001012750	chr10	27148476	38	10-PAKRSL	+	+
ALL	diagnosis	ATP10A	NM_024490	chr15	26016743	ATP10A	NM_024490	chr15	26107406	6	10-PAKRSL	+	+
ALL	diagnosis	NLRC3	NM_178844	chr16	3623247			chr16	3661845	28	10-PAKRSL	+	+
ALL	diagnosis			chr16	65261792	FAM71E2	NM_001145402	chr19	55867354	18	10-PAKRSL	-	-
ALL	diagnosis			chr20	10415652	SLX4IP	NM_001009608	chr20	10456212	36	10-PAKRSL	+	+
ALL	diagnosis	FOCAD	NM_017794	chr9	20872579	FOCAD	NM_017794	chr9	20872811	10	10-PAKVKK	+	-
ALL	diagnosis			chr9	21892310	CDKN2B	NM_004936	chr9	22008305	42	10-PAKVKK	+	+
ALL	diagnosis	RAPGEF3	NM_001098531	chr12	48148523	PFKM	NM_000289	chr12	48513729	6	10-PAKVKK	+	+
ALL	diagnosis	MIPOL1	NM_138731	chr14	37787051	MIPOL1	NM_138731	chr14	37890651	55	10-PAKVKK	+	+
ALL	diagnosis	ZFP69	NM_198494	chr1	40943802			chr1	41053384	109	10-PAKYEP	+	+
ALL	diagnosis	FLNB	NM_001164317	chr3	57994355	FLNB	NM_001164317	chr3	58090486	22	10-PAKYEP	+	+
ALL	diagnosis			chr5	36745131	NIPBL	NM_015384	chr5	37018778	42	10-PAKYEP	+	+
ALL	diagnosis	PARP8	NM_001178055	chr5	49964684	PARP8	NM_001178055	chr5	50046885	23	10-PAKYEP	+	+
ALL	diagnosis	RNF145	NM_144726	chr5	158607427			chr5	158689553	121	10-PAKYEP	+	+
ALL	diagnosis	DNAH8	NM_001371	chr6	38714816			chr14	64268827	6	10-PAKYEP	+	-
ALL	diagnosis	IKZF1	NM_006060	chr7	50412874	IKZF1	NM_006060	chr7	50463643	79	10-PAKYEP	+	+
ALL	diagnosis	TOX	NM_014729	chr8	60031550			chr8	60195145	101	10-PAKYEP	+	+
ALL	diagnosis	JAK2	NM_004972	chr9	5076707	BCR	NM_004327	chr22	23575860	58	10-PAKYEP	-	-
ALL	diagnosis			chr9	21902175	CDKN2B	NM_004936	chr9	22008310	129	10-PAKYEP	+	+
ALL	diagnosis	CDKN2A	NM_058195	chr9	21975801	CDKN2B	NM_004936	chr9	22008300	109	10-PAKYEP	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	37024823	ZCCHC7	NM_032226	chr9	37257785	26	10-PAKYEP	+	+
ALL	diagnosis	CAMK1D	NM_020397	chr10	12866941	CAMK1D	NM_020397	chr10	12867241	12	10-PAKYEP	+	-
ALL	diagnosis			chr11	47884766	PTPRJ	NM_001098503	chr11	48004803	109	10-PAKYEP	+	+
ALL	diagnosis			chr12	92278189	BTG1	NM_001731	chr12	92538065	111	10-PAKYEP	+	+
ALL	diagnosis	VMP1	NM_030938	chr17	57831019	RNFT1	NM_016125	chr17	58041642	54	10-PAKYEP	+	+
ALL	diagnosis	GNAZ	NM_002073	chr22	23413691	BCR	NM_004327	chr22	23582829	99	10-PAKYEP	-	+
ALL	diagnosis	ZNF638	NM_001014972	chr2	71567968			chr2	90044441	13	10-PALJCF	+	+
ALL	diagnosis	MUC4	NM_004532	chr3	195494588			chr21	44682745	4	10-PALJCF	-	+
ALL	diagnosis	CDKN2A	NM_058195	chr9	21975802	CDKN2B-AS1	NR_003529	chr9	22118212	99	10-PALJCF	+	+
ALL	diagnosis			chrX	1333754	P2RY8	NM_178129	chrX	1654734	68	10-PALJCF	+	+
ALL	diagnosis	CCNL1	NM_020307	chr3	156877898			chr3	156893273	53	10-PALJDL	+	+
ALL	diagnosis			chr6	119085684	ASF1A	NM_014034	chr6	119215416	86	10-PALJDL	+	+
ALL	diagnosis	CDK6	NM_001145306	chr7	92443254	CDK6	NM_001145306	chr7	92463387	124	10-PALJDL	+	+
ALL	diagnosis			chr9	21902178	CDKN2B	NM_004936	chr9	22008310	141	10-PALJDL	+	+
ALL	diagnosis			chr12	64960516	RASSF3	NM_178169	chr12	65005132	135	10-PALJDL	+	+
ALL	diagnosis			chr12	91980886	BTG1	NM_001731	chr12	92535505	82	10-PALJDL	+	+
ALL	diagnosis	IFT81	NM_001143779	chr12	110632761	ATXN2	NM_002973	chr12	111914105	52	10-PALJDL	+	+
ALL	diagnosis			chr12	111840968	SH2B3	NM_005475	chr12	111877371	4	10-PALJDL	+	+
ALL	diagnosis	ELF1	NM_001145353	chr13	41550351	ELF1	NM_172373	chr13	41591524	93	10-PALJDL	+	+
ALL	diagnosis	SCYL3	NM_020423	chr1	169843091	KIFAP3	NM_014970	chr1	169898018	82	10-PALKTY	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053664			chr3	112218476	70	10-PALKTY	+	+
ALL	diagnosis			chr6	109093746	SESN1	NM_014454	chr6	109330344	66	10-PALKTY	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412884	IKZF1	NM_006060	chr7	50463629	53	10-PALKTY	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21825558	CDKN2A	NM_058195	chr9	21993817	52	10-PALKTY	+	+
ALL	diagnosis			chr9	21889448	CDKN2A	NM_058195	chr9	21993813	42	10-PALKTY	+	+
ALL	diagnosis	ADD3	NM_001121	chr10	111768615	ADD3	NM_001121	chr10	111868800	51	10-PALKTY	+	+
ALL	diagnosis	LEMD3	NM_001167614	chr12	65579924	LEMD3	NM_001167614	chr12	65607414	52	10-PALKTY	+	+
ALL	diagnosis	SLC7A9	NM_001126335	chr19	33356875			chr21	15450320	9	10-PALKTY	+	+
ALL	diagnosis			chrX	1335077	P2RY8	NM_178129	chrX	1655498	17	10-PALKTY	+	+
ALL	diagnosis	USP9X	NM_001039590	chrX	41059694	DDX3X	NM_001193416	chrX	41194465	84	10-PALKTY	+	+
ALL	diagnosis	PRDX1	NM_002574	chr1	45985083			chr1	46009602	83	10-PALLSD	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112052432			chr3	112218496	47	10-PALLSD	+	+
ALL	diagnosis			chr3	151904944	MBNL1	NM_021038	chr3	152048399	25	10-PALLSD	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412890			chr7	50484457	61	10-PALLSD	+	+
ALL	diagnosis	SEPT14	NM_207366	chr7	55907418	SEPT14	NM_207366	chr7	55924714	6	10-PALLSD	+	+
ALL	diagnosis			chr8	144016844	GNAS-AS1	NR_002785	chr20	57405496	8	10-PALLSD	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21827681	CDKN2B	NM_004936	chr9	22008313	93	10-PALLSD	+	+
ALL	diagnosis			chr9	21902170	CDKN2B	NM_004936	chr9	22008302	116	10-PALLSD	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	37004575	ZCCHC7	NM_032226	chr9	37284589	95	10-PALLSD	+	+
ALL	diagnosis	AGTPBP1	NM_015239	chr9	88356115			chr9	88367608	18	10-PALLSD	+	+
ALL	diagnosis			chr12	92278184	BTG1	NM_001731	chr12	92538078	125	10-PALLSD	+	+
ALL	diagnosis			chr20	10415652	SLX4IP	NM_001009608	chr20	10456203	39	10-PALLSD	+	+
ALL	diagnosis	C20orf203	NM_182584	chr20	31224321	MYH7B	NM_020884	chr20	33562038	25	10-PALLSD	+	+
ALL	diagnosis	MAP1LC3A	NM_181509	chr20	33144309	UQCC1	NM_001184977	chr20	33980756	4	10-PALLSD	+	+
ALL	diagnosis	PIGU	NM_080476	chr20	33178053	APCDD1L-AS1	NR_034147	chr20	57161721	6	10-PALLSD	+	-
ALL	diagnosis	PIGU	NM_080476	chr20	33186202	CDH4	NM_001794	chr20	59972363	23	10-PALLSD	+	+
ALL	diagnosis	CYB5R3	NM_000398	chr22	43036498			chr22	43046497	6	10-PALLSD	-	-
ALL	diagnosis	TADA3	NM_006354	chr3	9824703	EMC3	NM_018447	chr3	10028163	17	10-PALNTB	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412879			chr7	50484452	77	10-PALNTB	+	+
ALL	diagnosis			chr7	106434900	PIK3CG	NM_002649	chr7	106507489	111	10-PALNTB	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21827672	CDKN2B	NM_004936	chr9	22008307	30	10-PALNTB	+	+
ALL	diagnosis			chr9	21902168	CDKN2A	NM_058195	chr9	21978456	137	10-PALNTB	+	+
ALL	diagnosis	WAC-AS1	NR_033805	chr10	28821257	WAC	NM_016628	chr10	28848021	61	10-PALNTB	+	+
ALL	diagnosis	ADD3	NM_001121	chr10	111768612	ADD3	NM_001121	chr10	111868800	42	10-PALNTB	+	+
ALL	diagnosis			chr12	92278178	BTG1	NM_001731	chr12	92538067	115	10-PALNTB	+	+
ALL	diagnosis			chr13	30996986	HMGB1	NM_002128	chr13	31035927	34	10-PALNTB	+	+
ALL	diagnosis	SERP2	NM_001010897	chr13	44949764	TSC22D1	NM_006022	chr13	45010469	73	10-PALNTB	+	+
ALL	diagnosis	MACROD2	NM_001033087	chr20	15939474	MACROD2	NM_001033087	chr20	16021268	97	10-PALNTB	+	+
ALL	diagnosis			chr2	200907379	SPATS2L	NM_001100422	chr2	201173058	95	10-PALTWS	+	+
ALL	diagnosis	ARL8B	NM_018184	chr3	5203375	EDEM1	NM_014674	chr3	5232396	40	10-PALTWS	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053666			chr3	112218476	207	10-PALTWS	+	+
ALL	diagnosis	NR3C2	NM_000901	chr4	149063408			chr4	149905405	28	10-PALTWS	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412894	IKZF1	NM_006060	chr7	50463638	48	10-PALTWS	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21827653	CDKN2B	NM_004936	chr9	22008309	90	10-PALTWS	+	+
ALL	diagnosis			chr9	21902421	CDKN2B	NM_004936	chr9	22008306	121	10-PALTWS	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36929051	PAX5	NM_016734	chr9	37030697	115	10-PALTWS	+	+
ALL	diagnosis	ADD3	NM_019903	chr10	111767365	ADD3	NM_001121	chr10	111868796	61	10-PALTWS	+	+
ALL	diagnosis	MCMBP	NM_024834	chr10	121632349	SEC23IP	NM_007190	chr10	121692931	6	10-PALTWS	+	+
ALL	diagnosis			chr12	92278183	BTG1	NM_001731	chr12	92538064	231	10-PALTWS	+	+
ALL	diagnosis	PSPC1	NM_001042414	chr13	20356287	ZMYM5	NM_001039649	chr13	20435583	72	10-PALTWS	+	+
ALL	diagnosis			chr13	44848745	TSC22D1	NM_006022	chr13	45010459	73	10-PALTWS	+	+
ALL	diagnosis	RB1	NM_000321	chr13	48984544	RCBTB2	NM_001268	chr13	49067700	100	10-PALTWS	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053669			chr3	112218474	67	10-PAMDRM	+	+
ALL	diagnosis			chr5	85916584	MAP2K5	NM_002757	chr15	67871529	17	10-PAMDRM	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50345506	IKZF1	NM_006060	chr7	50463628	72	10-PAMDRM	+	+
ALL	diagnosis	RAG1	NM_000448	chr11	36599103	C11orf74	NM_138787	chr11	36638042	54	10-PAMDRM	+	+
ALL	diagnosis			chr16	18077654	IQCK	NM_153208	chr16	19831062	23	10-PAMDRM	+	-
ALL	diagnosis	NOTCH2	NM_024408	chr1	120551444	NOTCH2NL	NM_203458	chr1	145272979	8	10-PAMKZB	-	+
ALL	diagnosis			chr2	213846908	IKZF2	NM_001079526	chr2	213975740	12	10-PAMKZB	+	+
ALL	diagnosis	KCNQ5	NM_001160130	chr6	73859452			chrY	10023895	4	10-PAMKZB	+	+
ALL	diagnosis	SMAD2	NM_001003652	chr18	45432482			chr18	45576686	104	10-PAMKZB	-	-
ALL	diagnosis	STK31	NM_001122833	chr7	23753799	NEDD4	NM_006154	chr15	56246279	7	10-PANSFD	-	-
ALL	diagnosis			chr7	50291854	IKZF1	NM_006060	chr7	50356665	3	10-PANSFD	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50348579	IKZF1	NM_006060	chr7	50434023	63	10-PANSFD	+	+
ALL	diagnosis	MTAP	NM_002451	chr9	21827683	CDKN2B	NM_004936	chr9	22008310	137	10-PANSFD	+	+
ALL	diagnosis	MELK	NM_014791	chr9	36589020	PAX5	NM_016734	chr9	37030696	80	10-PANSFD	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36886946	PAX5	NM_016734	chr9	36981469	5	10-PANSFD	+	+
ALL	diagnosis	ABL1	NM_005157	chr9	133714367	ETV6	NM_001987	chr12	12034880	33	10-PANSFD	-	-
ALL	diagnosis	FIBCD1	NM_001145106	chr9	133792610	ETV6	NM_001987	chr12	12035482	33	10-PANSFD	+	+
ALL	diagnosis	NSUN6	NM_182543	chr10	18841897			chrY	13194007	3	10-PANSFD	+	+
ALL	diagnosis	ZNF33A	NM_006954	chr10	38327380			chr10	38357365	9	10-PANSFD	+	+
ALL	diagnosis	RAG1	NM_000448	chr11	36594112	C11orf74	NM_138787	chr11	36638033	41	10-PANSFD	+	+
ALL	diagnosis			chr12	107675349	RXFP2	NM_001166058	chr13	32327945	16	10-PANSFD	-	+
ALL	diagnosis	ZNF267	NM_003414	chr16	31885993	ZNF267	NM_003414	chr16	31925509	49	10-PANSFD	+	+
ALL	diagnosis			chr20	10415621	SLX4IP	NM_001009608	chr20	10456244	34	10-PANSFD	+	+
ALL	diagnosis	HIPK1	NM_152696	chr1	114473255	HIPK1	NM_152696	chr1	114487673	76	10-PANWJB	+	+
ALL	diagnosis	CD200	NM_001004196	chr3	112053671			chr3	112218473	70	10-PANWJB	+	+
ALL	diagnosis	IGJ	NM_144646	chr4	71521590	RUFY3	NM_001037442	chr4	71600365	48	10-PANWJB	+	+
ALL	diagnosis			chr4	78048522	CCNG2	NM_004354	chr4	78078717	77	10-PANWJB	+	+
ALL	diagnosis			chr7	50315282	IKZF1	NM_006060	chr7	50346093	5	10-PANWJB	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412879			chr7	50484482	57	10-PANWJB	+	+
ALL	diagnosis	AUTS2	NM_001127231	chr7	70208458	AUTS2	NM_001127231	chr7	70211146	4	10-PANWJB	+	-
ALL	diagnosis			chr7	106438998	PIK3CG	NM_002649	chr7	106507490	22	10-PANWJB	+	+
ALL	diagnosis			chr8	38757848	PLEKHA2	NM_021623	chr8	38815275	71	10-PANWJB	+	+
ALL	diagnosis	JAK2	NM_004972	chr9	5078419	ATF7IP	NM_018179	chr12	14644070	12	10-PANWJB	-	-
ALL	diagnosis			chr9	21911957	CDKN2B	NM_004936	chr9	22008305	18	10-PANWJB	+	+
ALL	diagnosis	CDKN2A	NM_058195	chr9	21994310	CDKN2B-AS1	NR_003529	chr9	22074156	55	10-PANWJB	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	36928975	PAX5	NM_016734	chr9	37030778	8	10-PANWJB	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	37030700	ZCCHC7	NM_032226	chr9	37257782	33	10-PANWJB	-	+
ALL	diagnosis	MARCH8	NM_001002265	chr10	45993572	MARCH8	NM_001002265	chr10	46090201	14	10-PANWJB	+	+
ALL	diagnosis	LEMD3	NM_001167614	chr12	65579887	LEMD3	NM_001167614	chr12	65607407	44	10-PANWJB	+	+
ALL	diagnosis			chr12	91967374	BTG1	NM_001731	chr12	92535523	20	10-PANWJB	+	+
ALL	diagnosis	RUNX1	NM_001001890	chr21	36256872			chr21	36422666	26	10-PANWJB	+	+
ALL	diagnosis	FAM19A5	NM_001082967	chr22	48980308	FAM19A5	NM_001082967	chr22	49123410	36	10-PANWJB	+	+
ALL	diagnosis	GEN1	NM_001130009	chr2	17936186			chr2	18009161	52	10-PAPCXR	+	+
ALL	diagnosis			chr2	90260254	FHIT	NM_001166243	chr3	60064864	24	10-PAPCXR	-	+
ALL	diagnosis	SSBP2	NM_012446	chr5	80719782	CSF1R	NM_005211	chr5	149445604	72	10-PAPCXR	+	+
ALL	diagnosis	USP42	NM_032172	chr7	6145997			chr7	6354184	32	10-PAPCXR	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50412887			chr7	50484462	49	10-PAPCXR	+	+
ALL	diagnosis			chr9	21902179	CDKN2B	NM_004936	chr9	22008300	247	10-PAPCXR	+	+
ALL	diagnosis	PAX5	NM_016734	chr9	37024849			chr9	37421040	5	10-PAPCXR	+	+
ALL	diagnosis	FCHSD2	NM_014824	chr11	72594633	FCHSD2	NM_014824	chr11	72784215	93	10-PAPCXR	+	+
ALL	diagnosis			chr12	1778071	ADIPOR2	NM_024551	chr12	1855530	37	10-PAPCXR	+	+
ALL	diagnosis	ATP10A	NM_024490	chr15	26018002	ATP10A	NM_024490	chr15	26107408	86	10-PAPCXR	+	+
ALL	diagnosis	PDE4B	NM_001037339	chr1	66799152			chr1	66892072	11	10-PAPDFU	+	+
ALL	diagnosis	SFXN5	NM_144579	chr2	73298047	RAB11FIP5	NM_015470	chr2	73319599	44	10-PAPDFU	+	+
ALL	diagnosis	SSBP2	NM_012446	chr5	80720558	CSF1R	NM_005211	chr5	149445864	62	10-PAPDFU	-	-
ALL	diagnosis			chr6	26285270	BTN3A2	NM_007047	chr6	26375713	9	10-PAPDFU	+	+
ALL	diagnosis	IKZF1	NM_006060	chr7	50345515	IKZF1	NM_006060	chr7	50463631	38	10-PAPDFU	+	+
ALL	diagnosis			chr9	21902172	CDKN2B	NM_004936	chr9	22008302	111	10-PAPDFU	+	+
ALL	diagnosis	CDC123	NM_006023	chr10	12256130	TMEM126B	NM_001193537	chr11	85339648	13	10-PAPDFU	-	+
ALL	diagnosis	C14orf80	NM_001134877	chr14	105956715			chr14	107034732	19	10-PAPDFU	+	+
ALL	diagnosis	INO80	NM_017553	chr15	41343860	INO80	NM_017553	chr15	41371191	43	10-PAPDFU	+	+
ALL	diagnosis	CIITA	NM_000246	chr16	10975226	CIITA	NM_000246	chr16	11011776	27	10-PAPDFU	+	+
ALL	diagnosis			chr20	37319022	CDH4	NM_001794	chr20	60274315	22	10-PAPDFU	+	+
ALL	diagnosis	LINC01141	NR_033887	chr1	20708961			chr10	105010695	6	10-PAPJRR	-	+
ALL	diagnosis	PARP1	NM_001618	chr1	226595687			chr13	111587241	10	10-PAPJRR	+	-
ALL	diagnosis	RYR2	NM_001035	chr1	237566103	RYR2	NM_001035	chr1	237566207	24	10-PAPJRR	-	+
ALL	diagnosis			chr2	42051403	EPHA5	NM_004439	chr4	66413937	13	10-PAPJRR	-	-
ALL	diagnosis	UXS1	NM_025076	chr2	106782140	UXS1	NM_025076	chr2	106783080	274	10-PAPJRR	+	+
ALL	diagnosis			chr3	176990164	ATP8A2	NM_016529	chr13	26055320	6	10-PAPJRR	-	-
ALL	diagnosis	CDC42SE2	NM_001038702	chr5	130726204			chr5	130730730	7	10-PAPJRR	+	+
ALL	diagnosis	RASGEF1C	NM_175062	chr5	179561860	ODF3L2	NM_182577	chr19	466243	10	10-PAPJRR	+	-
ALL	diagnosis	HLA-DRB5	NM_002125	chr6	32490555			chr6	32536574	6	10-PAPJRR	+	+
ALL	diagnosis			chr6	114735709	FCGBP	NM_003890	chr19	40360446	13	10-PAPJRR	+	+
ALL	diagnosis			chr6	132089890	SLC25A21	NM_001171170	chr14	37594171	6	10-PAPJRR	-	-
ALL	diagnosis	WISP1	NM_003882	chr8	134206540			chr21	43005617	3	10-PAPJRR	-	+
ALL	diagnosis	PAX5	NM_016734	chr9	37027648	ZCCHC7	NM_032226	chr9	37229549	140	10-PAPJRR	+	+
